This is data made public for the publication:,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporary reduction in daily global CO2 emissions during the COVID-19 forced confinement. (Le Quéré et al. Nature Climate Change (2020)). ,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dec 2020 Update),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NZL,New Zealand,,,,,,,,,,,,,,,,,,,
,,,,,,OMN,Oman,,,,,,,,,,,,,,,,,,,
,,,,,,PAK,Pakistan,,,,,,,,,,,,,,,,,,,
,,,,,,PHL,Philippines,,,,,,,,,,,,,,,,,,,
,,,,,,POL,Poland,,,,,,,,,,,,,,,,,,,
,,,,,,PRT,Portugal,,,,,,,,,,,,,,,,,,,
,,,,,,QAT,Qatar,,,,,,,,,,,,,,,,,,,
,,,,,,ROU,Romania,,,,,,,,,,,,,,,,,,,
,,,,,,RUS,Russian Federation,,,,,,,,,,,,,,,,,,,
,,,,,,SAU,Saudi Arabia,,,,,,,,,,,,,,,,,,,
,,,,,,SVK,Slovakia,,,,,,,,,,,,,,,,,,,
,,,,,,SVN,Slovenia,,,,,,,,,,,,,,,,,,,
,,,,,,SWE,Sweden,,,,,,,,,,,,,,,,,,,
,,,,,,THA,Thailand,,,,,,,,,,,,,,,,,,,
,,,,,,TKM,Turkmenistan,,,,,,,,,,,,,,,,,,,
,,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,
,,,,,,UKR,Ukraine,,,,,,,,,,,,,,,,,,,
,,,,,,UZB,Uzbekistan,,,,,,,,,,,,,,,,,,,
,,,,,,USA,USA,,,,,,,,,,,,,,,,,,,
,,,,,,VEN,Venezuela,,,,,,,,,,,,,,,,,,,
,,,,,,VNM,Vietnam,,,,,,,,,,,,,,,,,,,
,,,,,,ZAF,South Africa,,,,,,,,,,,,,,,,,,,
